,age,type_employer,education,education_num,marital,occupation,relationship,race,sex,capital_gain,capital_loss,hr_per_week,country,pred
34,35,Private,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Female,0,0,48,United-States,-3.00737419636
35,25,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,-5.08737883366
36,27,?,Some-college,10,Divorced,?,Not-in-family,White,Female,0,0,40,United-States,-4.02063263088
37,27,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,-1.69315859745
38,51,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,15024,0,40,United-States,-0.149679938162
39,68,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,20051,0,40,United-States,0.669032325972
40,57,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,36,United-States,2.61879712549
41,49,Private,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,-0.116751891044
42,55,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,32,United-States,-1.09807553891
43,27,Private,Assoc-acdm,12,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,-4.1807704386
44,39,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,-0.490189855801
45,19,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,30,United-States,-6.71537988818
46,54,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,48,United-States,1.20041816534
47,44,Local-gov,Assoc-voc,11,Divorced,Tech-support,Unmarried,Asian-Pac-Islander,Male,0,0,40,United-States,-1.61223963975
48,24,State-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,20,United-States,-4.33966091947
49,61,Local-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,50,United-States,1.8888737099
50,36,Local-gov,Assoc-voc,11,Never-married,Protective-serv,Not-in-family,White,Male,0,0,40,United-States,-2.28418629494
51,20,?,Some-college,10,Never-married,?,Own-child,White,Female,0,0,40,United-States,-6.3013235046
52,52,?,Prof-school,15,Married-spouse-absent,?,Unmarried,Asian-Pac-Islander,Female,0,0,40,Vietnam,-1.34454573314
53,59,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,2.15208728693
54,20,Private,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,0,0,20,United-States,-6.04034862569
55,34,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,42,United-States,0.466619173376
56,32,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,-0.188233437881
57,21,Private,9th,5,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,-6.42203212552
58,38,Private,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,0,0,40,United-States,-3.1810206527
59,54,State-gov,Doctorate,16,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,50,United-States,0.702045786356
60,47,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,30,United-States,-0.878296940883
61,24,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,-0.0134698797224
62,56,Federal-gov,Some-college,10,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,-2.07790455849
63,28,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,-2.28180811696
64,32,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,45,United-States,-3.42840270874
65,18,Private,10th,6,Never-married,Farming-fishing,Own-child,White,Male,0,0,36,United-States,-6.99768545374
66,39,Private,HS-grad,9,Widowed,Adm-clerical,Own-child,White,Female,0,0,40,United-States,-2.71556392817
67,35,Private,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,50,United-States,-2.13649776906
68,35,Self-emp-not-inc,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,25,United-States,-2.87727257205
69,43,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,50,Philippines,2.10675807706
70,24,Private,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,-4.61312508165
71,41,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,40,United-States,-1.32809526871
72,23,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,30,United-States,-4.87620741898
73,29,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0.242015009535
74,53,Private,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,40,United-States,0.914355799556
75,41,Private,HS-grad,9,Divorced,Priv-house-serv,Not-in-family,White,Female,0,0,40,Guatemala,-7.00897500961
76,34,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,-0.523188237954
77,34,Private,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,-0.0628191465763
78,39,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,40,United-States,1.45880586657
79,18,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,-6.07795997978
80,42,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0.550494416524
81,46,Private,Some-college,10,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,-2.32863817916
82,46,Private,Some-college,10,Divorced,Sales,Not-in-family,White,Male,0,0,50,United-States,-1.12885218592
83,38,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1.04613516833
84,42,Local-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1485,40,United-States,1.06465932809
85,54,Local-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,-0.460159863949
86,63,Private,9th,5,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,-1.88561948979
87,27,Private,HS-grad,9,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,0,0,40,United-States,-3.48770201604
88,24,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,-2.86274670494
89,33,Private,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,-4.22658954862
90,56,State-gov,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,-2.80736065219
91,44,Private,Some-college,10,Divorced,Sales,Unmarried,White,Female,0,0,48,United-States,-1.93725719492
92,45,Private,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,-2.30915233065
93,54,?,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,-0.526863397574
94,22,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Female,0,0,38,United-States,-5.13935619593
95,57,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,1.83730664012
96,25,Private,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,35,United-States,-4.99277202607
97,32,State-gov,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,19,United-States,-4.50252270991
98,19,Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,35,United-States,-5.16711067992
99,32,Private,Masters,14,Never-married,Sales,Own-child,Black,Male,0,0,40,United-States,-1.70000201799
100,63,Private,10th,6,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,United-States,-1.19859246372
101,21,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,30,United-States,-6.75284920255
102,25,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,-2.02383284275
103,38,Private,Bachelors,13,Divorced,Tech-support,Other-relative,White,Male,0,0,40,United-States,-1.12073449255
104,42,Private,Assoc-acdm,12,Divorced,Prof-specialty,Unmarried,White,Female,0,0,45,United-States,-1.57737376573
105,21,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,30,United-States,-6.49463517212
106,32,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,-3.46094893835
107,19,Self-emp-inc,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,-4.5003858667
108,24,Private,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Female,0,0,50,United-States,-2.505158448
109,40,Private,10th,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,-0.887296515372
110,28,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,43,United-States,-1.90185528486
111,43,Private,HS-grad,9,Separated,Handlers-cleaners,Unmarried,Black,Female,0,0,45,United-States,-3.42668948846
112,19,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,30,United-States,-6.86887039491
113,52,Self-emp-not-inc,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Male,0,0,5,United-States,-3.15929100297
114,42,Private,Masters,14,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,25,United-States,-2.73279858077
115,35,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,46,United-States,0.187226428554
116,36,Self-emp-not-inc,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,70,United-States,-4.26140906468
117,40,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,1977,45,Hong,2.8727341336
118,42,Local-gov,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,-1.73829111811
119,44,Local-gov,Assoc-voc,11,Divorced,Protective-serv,Own-child,White,Female,0,0,40,Cuba,-1.69207743756
120,62,Local-gov,7th-8th,4,Widowed,Other-service,Not-in-family,Black,Female,0,0,35,United-States,-5.1891015073
121,50,Self-emp-not-inc,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,Canada,0.883073163357
122,33,Private,7th-8th,4,Divorced,Handlers-cleaners,Not-in-family,White,Male,2176,0,35,United-States,-4.91883893011
123,28,Private,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,-2.34060077609
124,27,Private,7th-8th,4,Never-married,Other-service,Not-in-family,White,Male,0,0,24,?,-6.79671982578
125,61,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1887,60,United-States,0.567128118594
126,64,Private,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,-2.11202181459
127,20,Private,11th,7,Never-married,Transport-moving,Other-relative,White,Male,0,0,40,Guatemala,-9.1133378899
128,41,Private,HS-grad,9,Divorced,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,-3.12895528552
129,48,Private,HS-grad,9,Divorced,Other-service,Not-in-family,Black,Female,0,0,20,United-States,-4.228576143
130,25,Private,11th,7,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,-5.3185005384
131,38,Private,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,-3.59269544586
132,35,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,44,United-States,-0.373991252176
133,18,Private,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,11,United-States,-7.53256141671
134,39,Private,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,-1.58123724891
135,33,Private,Some-college,10,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,40,United-States,-2.46541165901
136,41,Private,1st-4th,2,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,Mexico,-2.56603804877
137,55,Self-emp-not-inc,Assoc-acdm,12,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,-2.25040083253
138,35,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,3103,0,55,United-States,-1.28797064491
139,29,Private,11th,7,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,Haiti,-4.98591902919
140,38,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,Taiwan,1.88483238772
141,25,Private,7th-8th,4,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,40,United-States,-5.93152005848
142,33,State-gov,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,4,United-States,-1.55169904556
143,43,Private,HS-grad,9,Separated,Transport-moving,Unmarried,White,Male,0,0,40,Mexico,-3.8693492232
144,68,Private,Some-college,10,Divorced,Priv-house-serv,Other-relative,White,Female,0,0,30,United-States,-5.8517820466
145,42,Private,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0,0,32,United-States,-3.73386741101
146,47,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,7688,0,40,United-States,0.0129952060914
147,28,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,-2.25852768446
148,34,?,12th,8,Separated,?,Unmarried,Black,Female,0,0,40,United-States,-4.04384041117
149,51,Private,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Male,0,0,55,Germany,-0.987734945161
150,42,Local-gov,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,-0.407814035955
151,38,Self-emp-not-inc,7th-8th,4,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,Mexico,-2.37269351343
152,34,Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,1639,0,20,United-States,-3.0583510487
153,21,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,-4.73399175799
154,37,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,-2.92322659506
155,54,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,-0.281688997172
156,20,Private,Some-college,10,Never-married,Prof-specialty,Unmarried,White,Female,0,0,25,United-States,-6.79316968324
157,28,Private,10th,6,Never-married,Transport-moving,Unmarried,White,Male,0,0,30,United-States,-6.17617432992
158,26,Private,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,United-States,-4.19594715318
159,47,Private,HS-grad,9,Separated,Craft-repair,Own-child,White,Male,0,0,40,United-States,-2.46425091541
160,34,Private,Assoc-voc,11,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States,-2.09017739369
161,69,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,8,United-States,-2.14762969242
162,20,Private,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,35,United-States,-6.15311776547
163,50,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,35,United-States,-1.42336370689
164,27,Private,Bachelors,13,Never-married,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,0,0,40,?,-3.59010805095
165,35,Local-gov,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,-2.04363773246
166,50,State-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Canada,0.96368725702
167,36,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,-3.40786133023
168,29,Private,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,50,United-States,0.104947001176
169,41,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1485,44,United-States,-0.286744989094
170,28,Private,Bachelors,13,Never-married,Transport-moving,Unmarried,White,Male,0,0,20,United-States,-3.91131922618
171,26,Private,HS-grad,9,Never-married,Other-service,Other-relative,White,Male,0,0,40,United-States,-5.10256219088
172,51,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1672,70,United-States,1.25187865653
173,38,Private,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,-0.972636444677
174,27,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,-3.8135431926
175,38,Private,HS-grad,9,Separated,Sales,Unmarried,White,Female,0,0,10,United-States,-3.74372877085
176,33,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,-1.34326297061
177,33,?,Bachelors,13,Married-civ-spouse,?,Wife,Asian-Pac-Islander,Female,0,0,40,China,-1.25029703477
178,29,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,South,-2.6412993625
179,54,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,1977,18,United-States,-0.257757626725
180,59,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,37,United-States,0.774267140181
181,45,Local-gov,HS-grad,9,Divorced,Other-service,Own-child,Black,Female,0,0,40,United-States,-3.81039309286
182,46,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,60,United-States,3.29857971977
183,55,Private,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0.32273393979
184,52,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0.63400934575
185,27,Private,HS-grad,9,Never-married,Farming-fishing,Own-child,Black,Male,0,0,30,United-States,-5.80244520924
186,22,State-gov,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,25,United-States,-4.46127702802
187,20,State-gov,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,15,United-States,-7.45585005527
188,62,Private,9th,5,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,42,United-States,-2.37303827605
189,36,Private,11th,7,Never-married,Protective-serv,Not-in-family,Black,Male,13550,0,40,United-States,-3.40494068684
190,30,Private,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Male,10520,0,50,United-States,0.0434055127939
191,42,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,2407,0,40,United-States,-0.102730348254
192,61,Local-gov,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,4064,0,40,United-States,2.64302174288
193,35,?,Some-college,10,Never-married,?,Unmarried,White,Male,0,0,10,United-States,-4.05850073178
194,62,Private,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,-0.119593072898
195,33,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0.776507114765
196,54,Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,-0.855583785491
197,20,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,60,United-States,-6.18170754938
198,40,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0.0707208156851
199,41,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,-0.324727610991
200,41,Local-gov,Some-college,10,Never-married,Prof-specialty,Other-relative,White,Male,0,0,7,United-States,-2.15984676344
201,52,Private,HS-grad,9,Separated,Other-service,Other-relative,White,Female,0,0,20,United-States,-4.19830045369
202,41,Private,5th-6th,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,3411,0,40,Mexico,-3.28701531561
203,61,Self-emp-not-inc,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,44,United-States,-2.47081589512
204,69,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,40,United-States,1.29863873812
205,41,Self-emp-not-inc,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1.00821428377
206,23,Private,Bachelors,13,Never-married,Sales,Own-child,White,Female,0,0,60,United-States,-3.92912408217
207,67,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,-0.496192299917
208,36,Private,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,42,United-States,-2.45823481096
209,41,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,56,United-States,1.29954953909
210,22,Private,Bachelors,13,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,United-States,-4.55011977888
211,60,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Transport-moving,Wife,White,Female,0,0,15,Germany,-2.8454391427
212,66,Private,HS-grad,9,Widowed,Tech-support,Not-in-family,White,Female,0,0,18,United-States,-3.4859167294
213,34,Private,11th,7,Never-married,Machine-op-inspct,Own-child,Black,Male,0,0,45,United-States,-3.85324890142
214,52,Private,Assoc-acdm,12,Divorced,Prof-specialty,Unmarried,White,Female,0,0,32,United-States,-1.86511687782
215,47,Private,HS-grad,9,Married-civ-spouse,Sales,Own-child,White,Female,0,0,38,United-States,-0.433106860293
216,76,Self-emp-not-inc,Some-college,10,Widowed,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,-3.75105836844
217,29,Self-emp-not-inc,HS-grad,9,Separated,Craft-repair,Not-in-family,White,Male,0,0,35,United-States,-4.05610338889
218,44,Local-gov,Prof-school,15,Separated,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,-0.477141032206
219,21,Private,Assoc-voc,11,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,-4.63274897182
220,25,Local-gov,HS-grad,9,Divorced,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,0,0,35,United-States,-5.02213590497
221,32,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,52,United-States,-4.07012540727
222,57,Self-emp-not-inc,HS-grad,9,Widowed,Craft-repair,Not-in-family,White,Male,0,0,55,United-States,-2.34867335568
223,33,Federal-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,-1.57810922994
224,49,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,-0.695050740905
225,27,Private,Some-college,10,Never-married,Craft-repair,Unmarried,White,Male,0,0,50,United-States,-2.98644076952
226,50,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,-1.08975640269
227,48,State-gov,Masters,14,Separated,Prof-specialty,Not-in-family,White,Male,0,0,60,United-States,-0.365694172658
228,53,Local-gov,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,38,United-States,0.735426947626
229,58,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,-0.417532267646
230,38,Private,Assoc-acdm,12,Never-married,Prof-specialty,Unmarried,White,Female,0,0,36,United-States,-2.00699218243
231,18,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,25,United-States,-6.44354311346
232,41,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,75,United-States,-0.381284979438
233,28,Private,Some-college,10,Separated,Other-service,Not-in-family,White,Female,0,0,60,United-States,-4.15728952174
